StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1990,,,State Total,,7.2,8.5,,1,5.7,5.7,454,7.8,7.8,622,79468
1990,NR,**,Adams,NR,,,**,1,,5.7,,,7.8,,272
1990,NR,**,Asotin,NR,,,**,1,,5.7,,,7.8,,271
1990,NR,**,Benton,,7.2,17.3,,1,,5.7,,11.4,7.8,22,1925
1990,NR,**,Chelan,NR,,,,1,,5.7,,,7.8,10,1001
1990,NR,**,Clallam,NR,,,**,1,,5.7,,,7.8,,759
1990,NR,,Clark,,3.4,8.2,,1,,5.7,11,5.4,7.8,22,4078
1990,,,Columbia,,,,,1,0,5.7,0,0,7.8,0,52
1990,NR,**,Cowlitz,NR,,,,1,,5.7,,,7.8,14,1364
1990,NR,**,Douglas,NR,,,**,1,,5.7,,,7.8,,447
1990,,,Ferry,NR,,,**,1,0,5.7,0,,7.8,,85
1990,NR,**,Franklin,NR,,,**,1,,5.7,,,7.8,,910
1990,,,Garfield,,,,,1,0,5.7,0,0,7.8,0,21
1990,NR,**,Grant,NR,,,,1,,5.7,,,7.8,12,997
1990,NR,**,Grays Harbor,NR,,,**,1,,5.7,,,7.8,,952
1990,NR,**,Island,NR,,,**,1,,5.7,,,7.8,,1071
1990,NR,**,Jefferson,NR,,,**,1,,5.7,,,7.8,,216
1990,,,King,,5.8,8,,1,6.3,5.7,145,6.8,7.8,157,23104
1990,,,Kitsap,,4.5,10.5,,1,5.3,5.7,18,7,7.8,24,3413
1990,,,Kittitas,NR,,,**,1,0,5.7,0,,7.8,,325
1990,,,Klickitat,NR,,,**,1,0,5.7,0,,7.8,,235
1990,NR,**,Lewis,NR,,,**,1,,5.7,,,7.8,,886
1990,NR,**,Lincoln,,,,,1,,5.7,,0,7.8,0,97
1990,NR,**,Mason,NR,,,**,1,,5.7,,,7.8,,509
1990,NR,**,Okanogan,NR,,,**,1,,5.7,,,7.8,,560
1990,NR,**,Pacific,NR,,,**,1,,5.7,,,7.8,,230
1990,NR,**,Pend Oreille,NR,,,**,1,,5.7,,,7.8,,139
1990,,,Pierce,,7.5,11.3,,1,5.7,5.7,60,9.3,7.8,98,10570
1990,,,San Juan,,,,,1,0,5.7,0,0,7.8,0,106
1990,NR,**,Skagit,NR,,,,1,,5.7,,,7.8,10,1234
1990,,,Skamania,NR,,,**,1,0,5.7,0,,7.8,,101
1990,,,Snohomish,,4.4,7.8,,1,4.7,5.7,39,5.9,7.8,49,8286
1990,,,Spokane,,4.7,9.1,,1,6.4,5.7,36,6.6,7.8,37,5591
1990,NR,**,Stevens,NR,,,**,1,,5.7,,,7.8,,400
1990,NR,,Thurston,,4.2,11.5,,1,,5.7,10,7.2,7.8,17,2367
1990,,,Wahkiakum,,,,,1,0,5.7,0,0,7.8,0,26
1990,NR,**,Walla Walla,NR,,,**,1,,5.7,,,7.8,,665
1990,NR,,Whatcom,NR,,,,1,,5.7,11,,7.8,14,1774
1990,NR,**,Whitman,NR,,,**,1,,5.7,,,7.8,,402
1990,,,Yakima,,8.2,15,,1,8.2,5.7,33,11.2,7.8,45,4027
1991,,,State Total,,7,8.2,,1,5.3,5.3,421,7.5,7.5,603,79962
1991,NR,**,Adams,NR,,,**,1,,5.3,,,7.5,,317
1991,NR,**,Asotin,NR,,,**,1,,5.3,,,7.5,,258
1991,NR,,Benton,NR,,,,1,,5.3,12,,7.5,13,1940
1991,NR,**,Chelan,NR,,,**,1,,5.3,,,7.5,,929
1991,NR,**,Clallam,NR,,,**,1,,5.3,,,7.5,,736
1991,NR,,Clark,,3.8,8.8,,1,,5.3,14,5.9,7.5,24,4042
1991,,,Columbia,,,,,1,0,5.3,0,0,7.5,0,49
1991,NR,**,Cowlitz,NR,,,,1,,5.3,,,7.5,13,1316
1991,NR,**,Douglas,NR,,,**,1,,5.3,,,7.5,,406
1991,,,Ferry,NR,,,**,1,0,5.3,0,,7.5,,94
1991,NR,**,Franklin,NR,,,,1,,5.3,,,7.5,13,964
1991,,,Garfield,,,,,1,0,5.3,0,0,7.5,0,26
1991,NR,**,Grant,NR,,,**,1,,5.3,,,7.5,,1100
1991,NR,**,Grays Harbor,NR,,,**,1,,5.3,,,7.5,,993
