"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"1",1990,"Adams",1,NA,5,NA,NA,7,NA,272
"2",1990,"Asotin",1,NA,5,NA,NA,7,NA,271
"3",1990,"Benton",1,NA,5,NA,11,7,22,1925
"4",1990,"Chelan",1,NA,5,NA,NA,7,10,1001
"5",1990,"Clallam",1,NA,5,NA,NA,7,NA,759
"6",1990,"Clark",1,NA,5,11,5,7,22,4078
"7",1990,"Columbia",1,0,5,0,0,7,0,52
"8",1990,"Cowlitz",1,NA,5,NA,NA,7,14,1364
"9",1990,"Douglas",1,NA,5,NA,NA,7,NA,447
"10",1990,"Ferry",1,0,5,0,NA,7,NA,85
"11",1990,"Franklin",1,NA,5,NA,NA,7,NA,910
"12",1990,"Garfield",1,0,5,0,0,7,0,21
"13",1990,"Grant",1,NA,5,NA,NA,7,12,997
"14",1990,"Grays Harbor",1,NA,5,NA,NA,7,NA,952
"15",1990,"Island",1,NA,5,NA,NA,7,NA,1071
"16",1990,"Jefferson",1,NA,5,NA,NA,7,NA,216
"17",1990,"King",1,6,5,145,6,7,157,23104
"18",1990,"Kitsap",1,5,5,18,7,7,24,3413
"19",1990,"Kittitas",1,0,5,0,NA,7,NA,325
"20",1990,"Klickitat",1,0,5,0,NA,7,NA,235
"21",1990,"Lewis",1,NA,5,NA,NA,7,NA,886
"22",1990,"Lincoln",1,NA,5,NA,0,7,0,97
"23",1990,"Mason",1,NA,5,NA,NA,7,NA,509
"24",1990,"Okanogan",1,NA,5,NA,NA,7,NA,560
"25",1990,"Pacific",1,NA,5,NA,NA,7,NA,230
"26",1990,"Pend Oreille",1,NA,5,NA,NA,7,NA,139
"27",1990,"Pierce",1,5,5,60,9,7,98,10570
"28",1990,"San Juan",1,0,5,0,0,7,0,106
"29",1990,"Skagit",1,NA,5,NA,NA,7,10,1234
"30",1990,"Skamania",1,0,5,0,NA,7,NA,101
"31",1990,"Snohomish",1,4,5,39,5,7,49,8286
"32",1990,"Spokane",1,6,5,36,6,7,37,5591
"33",1990,"Stevens",1,NA,5,NA,NA,7,NA,400
"34",1990,"Thurston",1,NA,5,10,7,7,17,2367
"35",1990,"Wahkiakum",1,0,5,0,0,7,0,26
"36",1990,"Walla Walla",1,NA,5,NA,NA,7,NA,665
"37",1990,"Whatcom",1,NA,5,11,NA,7,14,1774
"38",1990,"Whitman",1,NA,5,NA,NA,7,NA,402
"39",1990,"Yakima",1,8,5,33,11,7,45,4027
"40",1991,"State Total",1,5,5,421,7,7,603,79962
"41",1991,"Adams",1,NA,5,NA,NA,7,NA,317
"42",1991,"Asotin",1,NA,5,NA,NA,7,NA,258
"43",1991,"Benton",1,NA,5,12,NA,7,13,1940
"44",1991,"Chelan",1,NA,5,NA,NA,7,NA,929
"45",1991,"Clallam",1,NA,5,NA,NA,7,NA,736
"46",1991,"Clark",1,NA,5,14,5,7,24,4042
"47",1991,"Columbia",1,0,5,0,0,7,0,49
"48",1991,"Cowlitz",1,NA,5,NA,NA,7,13,1316
"49",1991,"Douglas",1,NA,5,NA,NA,7,NA,406
"50",1991,"Ferry",1,0,5,0,NA,7,NA,94
"51",1991,"Franklin",1,NA,5,NA,NA,7,13,964
"52",1991,"Garfield",1,0,5,0,0,7,0,26
"53",1991,"Grant",1,NA,5,NA,NA,7,NA,1100
"54",1991,"Grays Harbor",1,NA,5,NA,NA,7,NA,993
"55",1991,"Island",1,NA,5,NA,NA,7,15,1032
"56",1991,"Jefferson",1,NA,5,NA,NA,7,NA,248
"57",1991,"King",1,5,5,136,7,7,167,23002
"58",1991,"Kitsap",1,NA,5,11,8,7,31,3484
"59",1991,"Kittitas",1,0,5,0,NA,7,NA,332
